"filename", "language", "XML", "Java", "Generic Pseudocode", "comment", "blank", "total"
"c:\School\oop\TDT4100_prosjekt_ingara\pom.xml", "XML", 0, 0, 0, 0, 1, 1
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board.java", "Java", 0, -135, 0, -9, -40, -184
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\BoardController.java", "Java", 0, 12, 0, 0, 6, 18
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\Chessboard.java", "Java", 0, 135, 0, 5, 37, 177
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\ShadowBoard.java", "Java", 0, 11, 0, 0, 9, 20
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Board\Tile.java", "Java", 0, 53, 0, 1, 32, 86
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\CheckLegalMoves.java", "Java", 0, -3, 0, 0, -3, -6
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\ChessApp.java", "Java", 0, 17, 0, 0, 7, 24
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Files\FileHandler.java", "Java", 0, 3, 0, 3, 5, 11
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Game.java", "Java", 0, 3, 0, 0, 2, 5
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\MovementPatterns.java", "Java", 0, -339, 0, -26, -137, -502
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Movement\FindLegalMoves.java", "Java", 0, 188, 0, 90, 76, 354
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Movement\Movement.java", "Java", 0, 356, 0, 16, 138, 510
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Piece.java", "Java", 0, -46, 0, -1, -18, -65
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Bishop.java", "Java", 0, 6, 0, 0, 4, 10
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\King.java", "Java", 0, 6, 0, 0, 4, 10
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Knight.java", "Java", 0, 6, 0, 0, 2, 8
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Pawn.java", "Java", 0, 17, 0, 12, 13, 42
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Piece.java", "Java", 0, 46, 0, 1, 18, 65
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Queen.java", "Java", 0, 6, 0, 0, 3, 9
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Rook.java", "Java", 0, 6, 0, 0, 4, 10
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\PlayerMove.java", "Java", 0, -194, 0, -45, -80, -319
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Test.java", "Java", 0, 9, 0, 0, 5, 14
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\Tile.java", "Java", 0, -49, 0, 0, -29, -78
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\files\FileHandler.java", "Java", 0, -3, 0, -3, -5, -11
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pieces\Bishop.java", "Java", 0, -7, 0, 0, -5, -12
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pieces\King.java", "Java", 0, -7, 0, 0, -5, -12
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pieces\Knight.java", "Java", 0, -7, 0, 0, -3, -10
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pieces\Pawn.java", "Java", 0, -24, 0, -5, -14, -43
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pieces\Queen.java", "Java", 0, -7, 0, 0, -4, -11
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pieces\Rook.java", "Java", 0, -7, 0, 0, -5, -12
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\PlayerMove.pseudo", "Generic Pseudocode", 0, 0, 25, 2, 9, 36
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\notater.pseudo", "Generic Pseudocode", 0, 0, 9, 0, 0, 9
"c:\School\oop\TDT4100_prosjekt_ingara\src\main\resources\project\Chessboard.fxml", "XML", 151, 0, 0, 0, 3, 154
"Total", "-", 151, 52, 34, 41, 30, 308
