"filename", "language", "Java", "XML", "Generic Pseudocode", "comment", "blank", "total"
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\BoardTileIterator.java", "Java", 27, 0, 0, 4, 13, 44
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Board\Tile.java", "Java", -5, 0, 0, -1, -12, -18
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\ChessController.java", "Java", 56, 0, 0, 0, 5, 61
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Files\ISaveHandler.java", "Java", 7, 0, 0, 0, 7, 14
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Files\SaveBoardState.java", "Java", 60, 0, 0, 23, 29, 112
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Files\SaveGames.java", "Java", -27, 0, 0, 0, -11, -38
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Game.java", "Java", -356, 0, 0, -11, -91, -458
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\CheckLegalMoves.java", "Java", 66, 0, 0, -14, 16, 68
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\Game.java", "Java", 719, 0, 0, 64, 188, 971
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\MovementPatterns.java", "Java", -6, 0, 0, -2, -11, -19
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\TileCheckLegalMoves.java", "Java", -323, 0, 0, -42, -121, -486
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\TileMovementPatterns.java", "Java", -288, 0, 0, -155, -104, -547
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Pawn.java", "Java", -2, 0, 0, -6, -1, -9
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Pieces\Piece.java", "Java", -21, 0, 0, 2, -5, -24
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Testy.java", "Java", 29, 0, 0, 0, 11, 40
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\TileTerminalChess.java", "Java", -183, 0, 0, -3, -54, -240
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\dokumentasjon.pseudo", "Generic Pseudocode", 0, 0, 0, 0, 1, 1
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\savegame.pseudo", "Generic Pseudocode", 0, 0, 10, 0, 5, 15
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\thingsToRemember.pseudo", "Generic Pseudocode", 0, 0, 12, 0, 2, 14
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\resources\project\Chessboard.fxml", "XML", 0, -96, 0, 0, 0, -96
"Total", "-", -247, -96, 22, -141, -133, -595
